"shots_detailID","TableIndex","MatchID","GameWeek","Player","ForTeam","AgainstTeam","RelativeStrength","Time","ShotOutcome","AssistedBy","ShotType","ShotPosition","ShotSide","Close"
"2010","14","58978","9","Dominic Calvert-Lewin","Everton","Fulham","1","53","Saved","Lucas Digne","right footed shot","long range","N/A","close"
"2011","15","58978","9","Richarlison","Everton","Fulham","1","47","Saved","Lucas Digne","left footed shot","the box","the centre","close"
"2012","16","58978","9","James Rodriguez","Everton","Fulham","1","45+2","Saved","Richarlison","left footed shot","the box","the centre","close"
"2013","17","58978","9","Richarlison","Everton","Fulham","1","21","Saved","Dominic Calvert-Lewin","right footed shot","the box","the centre","close"
"2014","18","58978","9","Bobby De Cordova-Reid","Fulham","Everton","-1","13","Saved","Antonee Robinson","left footed shot","the box","the centre","close"
"2015","19","58978","9","Bobby De Cordova-Reid","Fulham","Everton","-1","47","Miss","Ivan Cavaleiro","left footed shot","the box","the centre","not close"
"2016","20","58978","9","Ola Aina","Fulham","Everton","-1","26","Miss","Bobby De Cordova-Reid","right footed shot","outside the box","N/A","close"
"2017","21","58978","9","Harrison Reed","Fulham","Everton","-1","25","Miss","Ademola Lookman","right footed shot","outside the box","N/A","not close"
"2018","0","58979","9","Raphinha","Leeds United","Arsenal","-2","90+5","Woodwork","Rodrigo","left footed shot","the box","the centre","close"
"2019","1","58979","9","Patrick Bamford","Leeds United","Arsenal","-2","87","Woodwork","Ian Poveda-Ocampo","header","the box","the centre","close"
"2020","2","58979","9","Rodrigo","Leeds United","Arsenal","-2","79","Woodwork","Robin Koch","left footed shot","outside the box","N/A","close"
"2021","3","58979","9","Robin Koch","Leeds United","Arsenal","-2","90","Blocked","Mateusz Klich","header","the box","the centre","not close"
"2022","4","58979","9","Pierre-Emerick Aubameyang","Arsenal","Leeds United","2","82","Blocked","Bukayo Saka","right footed shot","the box","the centre","not close"
"2023","5","58979","9","Raphinha","Leeds United","Arsenal","-2","73","Blocked","Rodrigo","left footed shot","the box","the right","not close"
"2024","6","58979","9","Stuart Dallas","Leeds United","Arsenal","-2","38","Blocked","Jack Harrison","left footed shot","outside the box","N/A","not close"
"2025","7","58979","9","Patrick Bamford","Leeds United","Arsenal","-2","34","Blocked","Jack Harrison","right footed shot","the box","the centre","not close"
"2026","8","58979","9","Stuart Dallas","Leeds United","Arsenal","-2","19","Blocked","N/A","right footed shot","outside the box","N/A","not close"
"2027","9","58979","9","Bukayo Saka","Arsenal","Leeds United","2","84","Saved","Hector Bellerin","left footed shot","the box","the centre","close"
"2028","10","58979","9","Ian Poveda-Ocampo","Leeds United","Arsenal","-2","83","Saved","Robin Koch","left footed shot","the box","the right","close"
"2029","11","58979","9","Stuart Dallas","Leeds United","Arsenal","-2","64","Saved","N/A","left footed shot","outside the box","N/A","close"
"2030","12","58979","9","Pierre-Emerick Aubameyang","Arsenal","Leeds United","2","60","Saved","Bukayo Saka","right footed shot","the box","the centre","close"
"2031","13","58979","9","Patrick Bamford","Leeds United","Arsenal","-2","31","Saved","N/A","left footed shot","the box","the right","close"
"2032","14","58979","9","Patrick Bamford","Leeds United","Arsenal","-2","12","Saved","Ezgjan Alioski","right footed shot","the box","the centre","close"
"2033","15","58979","9","Rodrigo","Leeds United","Arsenal","-2","90+5","Miss","Stuart Dallas","header","the box","the centre","not close"
"2034","16","58979","9","Mateusz Klich","Leeds United","Arsenal","-2","90+1","Miss","N/A","left footed shot","the box","the centre","not close"
"2035","17","58979","9","Rodrigo","Leeds United","Arsenal","-2","76","Miss","Robin Koch","left footed shot","outside the box","N/A","close"
"2036","18","58979","9","Granit Xhaka","Arsenal","Leeds United","2","75","Miss","N/A","left footed shot","outside the box","N/A","not close"
"2037","19","58979","9","Patrick Bamford","Leeds United","Arsenal","-2","73","Miss","Raphinha","header","the box","the centre","not close"
"2038","20","58979","9","Liam Cooper","Leeds United","Arsenal","-2","64","Miss","Kalvin Phillips","header","the box","the centre","not close"
"2039","21","58979","9","Nicolas Pepe","Arsenal","Leeds United","2","44","Miss","Pierre-Emerick Aubameyang","left footed shot","outside the box","N/A","close"
"2040","22","58979","9","Luke Ayling","Leeds United","Arsenal","-2","43","Miss","N/A","right footed shot","the box","the centre","not close"
"2041","23","58979","9","Mateusz Klich","Leeds United","Arsenal","-2","41","Miss","Jack Harrison","left footed shot","the box","the centre","not close"
"2042","24","58979","9","Kalvin Phillips","Leeds United","Arsenal","-2","38","Miss","N/A","right footed shot","outside the box","N/A","not close"
"2043","25","58979","9","Stuart Dallas","Leeds United","Arsenal","-2","34","Miss","N/A","right footed shot","the box","the centre","not close"
"2044","26","58979","9","Ezgjan Alioski","Leeds United","Arsenal","-2","31","Miss","N/A","left footed shot","outside the box","N/A","not close"
"2045","27","58979","9","Raphinha","Leeds United","Arsenal","-2","27","Miss","Ezgjan Alioski","left footed shot","outside the box","N/A","close"
